Feature,Group,Pearson R Value,Pearson P Value,Significance for pearson,Spearman rho,Spearman P Value,Significance for spearman,Kendall Tau,Kendall P Value,Significance for kendalltau,Distance Correlation,Mutual Information,Pearson P Value adjusted by Benjamini,Significance of adjusted P Value for Pearson P Value,Spearman P Value adjusted by Benjamini,Significance of adjusted P Value for Spearman P Value,Kendall P Value adjusted by Benjamini,Significance of adjusted P Value for Kendall P Value
Blink Duration (log),High,0.16948420508420836,0.04452033348464614,Significant,0.06643224346256268,0.4338136538926064,Not Significant,0.04476923767533986,0.44411528650485654,Not Significant,0.16676282659978697,0.00012539559032287428,0.12858089621822322,0.0,0.5205763846711277,0.0,0.5329383438058278,0.0
Blink Duration (log),Mid,0.001379120642549303,0.9822072625181326,Not Significant,-0.01146486582926258,0.8529120382864219,Not Significant,-0.0053518656851201185,0.9003376951662785,Not Significant,0.0822289890964671,0.0,0.9822072625181326,0.0,0.8529120382864219,0.0,0.9003376951662785,0.0
Blink Duration (log),Low,-0.16468836101280454,0.05357537342425968,Significant,-0.21309197123676854,0.012094148437481004,Significant,-0.14548918484517387,0.013728616753809562,Significant,0.2100727300747103,0.0,0.12858089621822322,0.0,0.14512978124977205,0.0,0.16474340104571475,0.0
Blink Frequency (log),High,-0.11118584034911994,0.18932451387383065,Not Significant,-0.09610585135577987,0.2569365175019467,Not Significant,-0.0672334010053656,0.25925355455644106,Not Significant,0.14839715398717518,0.004188990118231928,0.27643057010227085,0.0,0.38540477625292,0.0,0.3888803318346616,0.0
Blink Frequency (log),Mid,-0.0647840884217581,0.2943051491027005,Not Significant,-0.0554482478269285,0.36953598790277975,Not Significant,-0.038325083186255535,0.378557388456393,Not Significant,0.09014307315199407,0.0,0.3531661789232406,0.0,0.49271465053703967,0.0,0.504743184608524,0.0
Blink Frequency (log),Low,0.16534468830861282,0.05261663025906959,Significant,0.14129180341415362,0.0983290576398178,Significant,0.09345586708708854,0.12107864185734639,Not Significant,0.1733122849860746,0.11372516178359193,0.12858089621822322,0.0,0.23669444180569907,0.0,0.2804894378606137,0.0
Blink Flurries (log),High,-0.12430854074847644,0.14192900528505117,Not Significant,-0.13391674199877915,0.1133855120869771,Not Significant,-0.09943545341374911,0.1158538233434423,Not Significant,0.16876037767876126,0.022577977897710433,0.24330686620294487,0.0,0.23669444180569907,0.0,0.2804894378606137,0.0
Blink Flurries (log),Mid,-0.07785837573027873,0.20732292757670312,Not Significant,-0.08077303470826046,0.19076562378574435,Not Significant,-0.06307166078857482,0.1769409715978515,Not Significant,0.10134178528551363,0.009352357337597539,0.27643057010227085,0.0,0.3270267836327046,0.0,0.3033273798820311,0.0
Blink Flurries (log),Low,0.20037749609058964,0.018450909520785413,Significant,0.17880539811896787,0.03587663186749452,Significant,0.1322279181458769,0.04237398701090716,Significant,0.22377076323973752,0.06197288438642801,0.12858089621822322,0.0,0.21525979120496713,0.0,0.254243922065443,0.0
Inter-blink intervals (log),High,0.13178035244376307,0.11930984669276448,Not Significant,0.1321217955219121,0.11834722090284953,Not Significant,0.09037528353152718,0.12238766795219577,Not Significant,0.16876424063666032,0.0,0.23861969338552896,0.0,0.23669444180569907,0.0,0.2804894378606137,0.0
Inter-blink intervals (log),Mid,0.034509216690911795,0.5766982401317184,Not Significant,0.03661770800732951,0.5536210643509918,Not Significant,0.02347047241798488,0.5828586562425387,Not Significant,0.07732553615241641,0.0,0.6291253528709656,0.0,0.6039502520192638,0.0,0.6358458068100423,0.0
Inter-blink intervals (log),Low,-0.1650878217063507,0.052990150380340925,Significant,-0.14115640670529075,0.09865513583949206,Significant,-0.08707554958149356,0.14024471893030685,Not Significant,0.18132369436755968,0.08019409063605742,0.12858089621822322,0.0,0.23669444180569907,0.0,0.2804894378606137,0.0
